nodeId,timeUtc,aqi,pm1MassConc[ug/m3],pm2_5MassConc[ug/m3],pm10MassConc[ug/m3],no2Conc[ppb],temperature[degC],relHumidity[%],latitude,longitude
AMZZDR73,2018-09-15T09:12:00.000Z,18,,4.235294342041016,,12.518684387207031,29.157699584960938,32.8496208190918,48.838565,2.412767
AM2JQ85L,2018-09-15T09:18:00.000Z,14,,3.465116024017334,,0,30.036239624023438,31.5922794342041,48.838565,2.412767
AQB2MV40,2018-09-15T09:26:00.000Z,40,,4.705882549285889,,42.4856071472168,26.420616149902344,38.95323181152344,48.838565,2.412767
AMZZDR73,2018-09-15T09:29:00.000Z,47,,7.294117450714111,,49.679264068603516,30.57030487060547,30.519569396972656,48.838565,2.412767
AM2JQ85L,2018-09-15T09:36:00.000Z,15,,3.69767427444458,,15.054145812988281,30.981536865234375,29.71541976928711,48.838565,2.412767
AQB2MV40,2018-09-15T09:43:00.000Z,26,,3.470588207244873,,27.107378005981445,25.870529174804688,38.94865417480469,48.838565,2.412767
AMZZDR73,2018-09-15T09:46:00.000Z,45,,3.529411792755127,,48.177398681640625,28.56488800048828,33.925384521484375,48.838565,2.412767
AM2JQ85L,2018-09-15T09:54:00.000Z,18,,4.232558250427246,,12.82351016998291,28.084228515625,33.65682601928711,48.838565,2.412767
AQB2MV40,2018-09-15T10:00:00.000Z,57,,4.411764621734619,,59.61254119873047,24.61547088623047,40.317386627197266,48.838565,2.412767
AMZZDR73,2018-09-15T10:03:00.000Z,60,,4.529411792755127,,62.36273193359375,27.352561950683594,34.579994201660156,48.838565,2.412767
AM2JQ85L,2018-09-15T10:11:00.000Z,14,,2.232558012008667,,15.117576599121094,28.989471435546875,31.805904388427734,48.838565,2.412767
AQB2MV40,2018-09-15T10:17:00.000Z,20,,2.7647058963775635,,21.377864837646484,25.248336791992188,38.98985290527344,48.838565,2.412767
AMZZDR73,2018-09-15T10:20:00.000Z,43,,3.6470587253570557,,45.36198806762695,31.219192504882812,28.596933364868164,48.838565,2.412767
AM2JQ85L,2018-09-15T10:29:00.000Z,8,,1.0697673559188843,,8.47852897644043,33.219268798828125,26.088350296020508,48.838565,2.412767
AQB2MV40,2018-09-15T10:33:00.000Z,24,,2.2941176891326904,,25.52927589416504,26.065460205078125,36.91462707519531,48.838565,2.412767
AMZZDR73,2018-09-15T10:37:00.000Z,32,,1.2941176891326904,,34.42049789428711,32.575721740722656,26.076143264770508,48.838565,2.412767
AM2JQ85L,2018-09-15T10:47:00.000Z,8,,2,,0,30.316627502441406,28.88075065612793,48.838565,2.412767
AQB2MV40,2018-09-15T10:50:00.000Z,20,,1.7647058963775635,,21.477384567260742,24.33509063720703,39.06462097167969,48.838565,2.412767
AMZZDR73,2018-09-15T10:54:00.000Z,42,,0,,44.90060043334961,28.11627197265625,30.780498504638672,48.838565,2.412767
AM2JQ85L,2018-09-15T11:05:00.000Z,8,,1.9302325248718262,,0,27.093536376953125,34.021514892578125,48.838565,2.412767
AQB2MV40,2018-09-15T11:07:00.000Z,44,,3.7647058963775635,,46.428497314453125,23.40314483642578,42.16220474243164,48.838565,2.412767
AMZZDR73,2018-09-15T11:11:00.000Z,52,,2.7647058963775635,,55.40424346923828,27.154953002929688,34.33432388305664,48.838565,2.412767
AM2JQ85L,2018-09-15T11:23:00.000Z,28,,3.930232286453247,,29.584991455078125,30.51689910888672,28.715953826904297,48.838565,2.412767
AQB2MV40,2018-09-15T11:24:00.000Z,56,,5.235294342041016,,59.06280517578125,24.177536010742188,40.7751579284668,48.838565,2.412767
AMZZDR73,2018-09-15T11:28:00.000Z,75,,6.411764621734619,,76.22320556640625,30.231170654296875,29.76882553100586,48.838565,2.412767
AQB2MV40,2018-09-15T11:41:00.000Z,23,,3.1764705181121826,,24.524595260620117,24.404518127441406,39.856563568115234,48.838565,2.412767
AMZZDR73,2018-09-15T11:45:00.000Z,35,,2.941176414489746,,36.99579620361328,29.908065795898438,29.050125122070312,48.838565,2.412767
AQB2MV40,2018-09-15T11:58:00.000Z,20,,3.529411792755127,,21.4157772064209,23.234909057617188,42.047760009765625,48.838565,2.412767
AM2JQ85L,2018-09-15T11:58:00.000Z,11,,2.69767427444458,,0,29.002822875976562,30.557716369628906,48.838565,2.412767
AMZZDR73,2018-09-15T12:02:00.000Z,45,,3.470588207244873,,47.334659576416016,27.085525512695312,33.568321228027344,48.838565,2.412767
AQB2MV40,2018-09-15T12:15:00.000Z,18,,3.7058823108673096,,18.870906829833984,23.122756958007812,41.612876892089844,48.838565,2.412767
AM2JQ85L,2018-09-15T12:16:00.000Z,12,,2.767441749572754,,1.9451987743377686,28.989471435546875,29.947357177734375,48.838565,2.412767
AMZZDR73,2018-09-15T12:20:00.000Z,36,,3.411764621734619,,38.201053619384766,26.66094207763672,33.67361068725586,48.838565,2.412767
AQB2MV40,2018-09-15T12:32:00.000Z,58,,6.764705657958984,,60.925254821777344,23.077362060546875,42.21713638305664,48.838565,2.412767
